vetiver-dhaiti-au-the-vert;Vetiver d'Haiti au The Vert;https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.45226.2x.avif;;Unisex;25.00;45.00;70.00;Chopard;yaşıl-çay,ənbər;vetivera,sidr;müşk;;
carmina;Carmina;https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.84206.2x.avif;;Qadın;25.00;45.00;70.00;Creed;Albalı,zəfəran,çəhrayı-istiot;Pion,bənövşə;Müşk,ambroksan;;
centaurus;Centaurus;https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.95601.2x.avif;;Unisex;25.00;45.00;70.00;Creed;Darçın,tütün,hil,çəhrayı-istiot;Səndəl,paçuli,geliotrop,ətirşah,jasmin;Vanil,benzoin,tonka-lobyası,ambroksan;;
dgvib3;DGVIB3;https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.87434.2x.avif;;Unisex;25.00;45.00;70.00;Dolce&Gabbana;lavanda;vanil;ənbər;;
le-parfum-in-white;Le Parfum in White;https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.48058.2x.avif;;Qadın;25.00;45.00;70.00;Elie Saab;Portağal-çiçəyi,berqamot,naringi-mandarin;Jasmin,şaftalı;Ənbər,müşk,paçuli,vanil,benzoin;;
essence-no-2-gardenia;Essence No. 2 Gardenia;https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.25915.2x.avif;;Unisex;25.00;45.00;70.00;Elie Saab;misir-jasmini;səndəl;ağac-notları;;
brisa-cubana-escada;Brisa Cubana Escada;https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.88990.2x.avif;;Qadın;25.00;45.00;70.00;Escada;laym,moxito;nanə;;;
iris-poudre;Iris Poudre;https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.4771.2x.avif;;Qadın;25.00;45.00;70.00;Frederic Malle;;;;;
geranium-pour-monsieur;Geranium Pour Monsieur;https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.5911.2x.avif;;Kişi;30.00;55.00;90.00;Frederic Malle;;;;;
acqua-di-gio-profondo;Acqua Di Gio Profondo;https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.59532.2x.avif;;Kişi;25.00;45.00;70.00;Giorgio Armani;;;;;
blanc-kogane;Blanc Kogane;https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.88629.2x.avif;;Unisex;38.00;70.00;110.00;Giorgio Armani;;;;;
armani-eau-de-nuit;Armani Eau de Nuit;https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.17231.2x.avif;;Kişi;25.00;45.00;70.00;Giorgio Armani;;;;;
my-way-nectar;My Way Nectar;https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.88938.2x.avif;;Qadın;20.00;30.00;50.00;Giorgio Armani;;;;;
noir-kogane;Noir Kogane;https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.88628.2x.avif;;Unisex;30.00;55.00;90.00;Giorgio Armani;;;;;
rose-milano;Rose Milano;https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.58911.2x.avif;;Qadın;25.00;45.00;70.00;Giorgio Armani;;;;;
si-intense;Si Intense;https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.25947.2x.avif;;Qadın;20.00;30.00;50.00;Giorgio Armani;;;;;
cuir-amethyste;Cuir Amethyste;https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.408.2x.avif;;Unisex;30.00;55.00;90.00;Giorgio Armani;;;;;
emporio-armani-stronger-with-you-leather;Emporio Armani Stronger With You Leather;https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.63355.2x.avif;;Kişi;25.00;45.00;70.00;Giorgio Armani;;;;;
emporio-armani-stronger-with-you-sandalwood;Emporio Armani Stronger With You Sandalwood;https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.102519.2x.avif;;Kişi;25.00;45.00;70.00;Giorgio Armani;;;;;
desinvolte;Desinvolte;https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.68973.2x.avif;;Unisex;25.00;45.00;70.00;Givenchy;;;;;
irrestible-very-flower;Irresistible Very Flower;https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.88896.2x.avif;;Qadın;25.00;45.00;70.00;Givenchy;;;;;
linderdit-tubereuse-noire;L'Interdit Tubéreuse Noire;https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.90200.2x.avif;;Qadın;25.00;45.00;70.00;Givenchy;;;;;
pi;Pi;https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.39.2x.avif;;Kişi;20.00;30.00;50.00;Givenchy;;;;;
society-extreme;Society Extreme;https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.89933.2x.avif;;Kişi;25.00;45.00;70.00;Givenchy;;;;;
very-irresistible;Very Irresistible;https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.33.2x.avif;;Qadın;20.00;30.00;50.00;Givenchy;;;;;
fantasque;Fantasque;https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.89991.2x.avif;;Unisex;25.00;45.00;70.00;Givenchy;;;;;
flora-georgous-orchid;Flora Gorgeous Orchid;https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.94979.2x.avif;;Qadın;25.00;45.00;70.00;Gucci;;;;;
cuir-beluga;Cuir Beluga;https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.1019.2x.avif;;Unisex;30.00;55.00;90.00;Guerlain;;;;;
oud-nude;Oud Nude;https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.76304.2x.avif;;Unisex;25.00;45.00;70.00;Guerlain;;;;;
paddock;Paddock;https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.93374.2x.avif;;Unisex;25.00;45.00;70.00;Hermès;;;;;
la-belle-paradise-garden;La Belle Paradise Garden;https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.88873.2x.avif;;Qadın;25.00;45.00;70.00;Jean Paul Gaultier;;;;;
rose-magnolia-cologne;Rose & Magnolia Cologne;https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.57381.2x.avif;;Qadın;25.00;45.00;70.00;Jo Malone;;;;;
silk-blossom-cologne;Silk Blossom Cologne;https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.72616.2x.avif;;Unisex;25.00;45.00;70.00;Jo Malone;;;;;
capri-in-a-bottle-lemon-sugar-14;Capri in a Bottle Lemon Sugar | 14;https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.94204.2x.avif;;Qadın;25.00;45.00;70.00;Kayali;;;;;
musk-12;Musk 12;https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.52615.2x.avif;;Unisex;25.00;45.00;70.00;Kayali;;;;;
born-to-be-unforgettable;Born To Be Unforgettable;https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.89141.2x.avif;;Unisex;25.00;45.00;70.00;Kilian;;;;;
incense-oud;Incense Oud;https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.11090.2x.avif;;Unisex;25.00;45.00;70.00;Kilian;;;;;
lheure-verte;L'Heure Verte;https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.68324.2x.avif;;Unisex;25.00;45.00;70.00;Kilian;;;;;
love-by-kilian-amber-and-oud-special-blend-2023;Love by Kilian Amber and Oud Special Blend 2023;https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.79647.2x.avif;;Unisex;25.00;45.00;70.00;Kilian;;;;;
smoking-hot;Smoking Hot;https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.84413.2x.avif;;Unisex;25.00;45.00;70.00;Kilian;;;;;
angels-share-paradis;Angels' Share Paradis;https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.101629.2x.avif;;Unisex;30.00;55.00;90.00;Kilian;;;;;
la-vie-est-belle-iris-absolu;La Vie Est Belle Iris Absolu;https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.79245.2x.avif;;Qadın;25.00;45.00;70.00;Lancôme;;;;;
rumeur-2-rose;Rumeur 2 Rose;https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.2271.2x.avif;;Qadın;20.00;30.00;50.00;Lanvin;;;;;
pur-santal;Pur Santal;https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.90205.2x.avif;;Unisex;38.00;70.00;110.00;Louis Vuitton;;;;;
spell-on-you;Spell On You;https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.68960.2x.avif;;Qadın;38.00;70.00;110.00;Louis Vuitton;;;;;
coeur-battant;Coeur Battant;https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.57129.2x.avif;;Qadın;38.00;70.00;110.00;Louis Vuitton;;;;;
hibiscus-mahajad;Hibiscus Mahajád;https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.69069.2x.avif;;Unisex;30.00;55.00;90.00;Maison Crivelli;;;;;
amberful;Amberful;https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.93337.2x.avif;;Unisex;30.00;55.00;90.00;Mancera;;;;;
coco-vanille;Coco Vanille;https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.42782.2x.avif;;Qadın;30.00;55.00;90.00;Mancera;;;;;
french-riviera;French Riviera;https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.74636.2x.avif;;Unisex;30.00;55.00;90.00;Mancera;;;;;
tonka-cola;Tonka Cola;https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.76893.2x.avif;;Unisex;30.00;55.00;90.00;Mancera;;;;;
ganymede-extrait;Ganymede Extrait;https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.79632.2x.avif;;Unisex;38.00;70.00;110.00;Marc - Antoıne Barroıs;;;;;
daisy-love;Daisy Love;https://fimgs.net/mdimg/perfume-thumbs/dark-375x500.49108.2x.avif;;Qadın;20.00;30.00;50.00;Marc Jacobs;;;;;
