id,slug,title,image,image_alt,gender,price_15ml,price_30ml,price_50ml,brand,top_notes,heart_notes,base_notes,link,stock_status
1138,stellar-times,Stellar Times,https://www.etirsah.com/storage/photos/shares/etirler_en_son/L%20brendleri/LOUIS%20VUITTON/LOUIS-VUITTON---STELLAR-TIMES-FOR-UNISEX.jpg,,Unisex,38.00,70.00,110.00,Louis Vuitton,portağal-çiçəyi,ənbər,ağac-notları,https://www.etirsah.com/az/product/1138,Stokda Var
1139,symphony,Symphony,https://www.etirsah.com/storage/photos/shares/etirler_en_son/L%20brendleri/LOUIS%20VUITTON/LOUIS-VUITTON---SYMPHONY-FOR-UNISEX.jpg,,Unisex,25.00,45.00,70.00,Louis Vuitton,qreyfrut,berqamot,zəncəfil,https://www.etirsah.com/az/product/1139,Stokda Var
1140,turbulences,Turbulences,https://www.etirsah.com/storage/photos/shares/etirler_en_son/L%20brendleri/LOUIS%20VUITTON/LOUIS-VUITTON---TURBULENCES-FOR-WOMEN.jpg,,Qadın,44.00,80.00,130.00,Louis Vuitton,jasmin,"maqnoliya, qızılgül, tuberoza","dəri, müşk, səndəl",https://www.etirsah.com/az/product/1140,Stokda Var
275,la-tulipe,La Tulipe,https://www.etirsah.com/storage/photos/shares/etirler_en_son/La-Tulipe-Byredo.jpg,,Qadın,32.00,55.00,90.00,Byredo,"freziya, rəvənd, siklamen",lalə-xaşxaş,"ağac-notları, vetivera, yaşıl-notlar",https://www.etirsah.com/az/product/275,Stokda Var
188,lafayette-street,Lafayette Street,https://www.etirsah.com/storage/photos/shares/etirler_en_son/Lafayette-Street-Bond-No-9.jpg,,Unisex,25.00,45.00,70.00,Bond No.9,"berqamot, keşniş, çiçək-notları","alma, ambroksan, vanil","ağac-notları, tonka-lobyası, boz-ənbər",https://www.etirsah.com/az/product/188,Stokda Var
2459,clat-darpge-mon-clat,Éclat d'Arpège Mon Éclat,https://www.etirsah.com/storage/photos/shares/etirler_en_son/LANVIN---ECLAT-D%27ARPEGE-MON-ECLAT.jpg,,Qadın,20.00,35.00,55.00,Lanvin,"aloe-vera, berqamot","jasmin, qızılgül, ərik","ağ-müşk, səndəl",https://www.etirsah.com/az/product/2459,Stokda Var
2663,asad,Asad,https://www.etirsah.com/storage/photos/shares/etirler_en_son/LATTAFA---ASAD-FOR-MENLATTAFA---ASAD-FOR-MEN.jpg,,Kişi,25.00,45.00,70.00,Lattafa,"ananas, qara-istiot, tütün","paçuli, qəhvə, süsən","benzoin, labdanum, vanil, ənbər, quru-odun",https://www.etirsah.com/az/product/2663,Stokda Var
2665,mayar,Mayar,https://www.etirsah.com/storage/photos/shares/etirler_en_son/LATTAFA---MAYAR-FOR-WOMEN.jpg,,Qadın,25.00,45.00,70.00,Lattafa,"bənövşə-yarpağı, liçi, moruq","ağ-qızılgül, jasmin, pion","müşk, vanil",https://www.etirsah.com/az/product/2665,Stokda Var
2058,yara,Yara,https://www.etirsah.com/storage/photos/shares/etirler_en_son/LATTAFA---YARA-FOR-WOMEN.jpg,,Qadın,20.00,35.00,55.00,Lattafa,"orxideya, geliotrop, tanqerin","tropik-meyvələr, gourmand-akkordu","müşk, səndəl, vanil",https://www.etirsah.com/az/product/2058,Stokda Var
2494,le-beau-paradise-garden,Le Beau Paradise Garden,https://www.etirsah.com/storage/photos/shares/etirler_en_son/Le-Beau-Paradise-Garden.jpg,,Kişi,25.00,45.00,70.00,Jean Paul Gaultier,"nanə, yaşıl-notlar, zəncəfil, su-notları","duz, kokos, əncir","səndəl, tonka-lobyası",https://www.etirsah.com/az/product/2494,Stokda Var
