slug,png_url,status
"emporio-armani-stronger-with-you-sandalwood","https://perfoumer-cdn.vercel.app/perfumes/emporio-armani-stronger-with-you-sandalwood.png","404"
"eros-najim","https://perfoumer-cdn.vercel.app/perfumes/eros-najim.png","404"
"erotika-minimale","https://perfoumer-cdn.vercel.app/perfumes/erotika-minimale.png","404"
"essence-no-2-gardenia","https://perfoumer-cdn.vercel.app/perfumes/essence-no-2-gardenia.png","404"
"eternity-amber-essence","https://perfoumer-cdn.vercel.app/perfumes/eternity-amber-essence.png","404"
"eucalyptus-20","https://perfoumer-cdn.vercel.app/perfumes/eucalyptus-20.png","404"
"extreme-leather","https://perfoumer-cdn.vercel.app/perfumes/extreme-leather.png","404"
"fantasia","https://perfoumer-cdn.vercel.app/perfumes/fantasia.png","404"
"fantasque","https://perfoumer-cdn.vercel.app/perfumes/fantasque.png","404"
"favonius","https://perfoumer-cdn.vercel.app/perfumes/favonius.png","404"
"fiamma","https://perfoumer-cdn.vercel.app/perfumes/fiamma.png","404"
"fiore-dulivo","https://perfoumer-cdn.vercel.app/perfumes/fiore-dulivo.png","404"
"flora-georgous-orchid","https://perfoumer-cdn.vercel.app/perfumes/flora-georgous-orchid.png","404"
"flowerbomb-tiger-lily","https://perfoumer-cdn.vercel.app/perfumes/flowerbomb-tiger-lily.png","404"
"for-her-intense","https://perfoumer-cdn.vercel.app/perfumes/for-her-intense.png","404"
"for-her-musk-nude","https://perfoumer-cdn.vercel.app/perfumes/for-her-musk-nude.png","404"
"french-riviera","https://perfoumer-cdn.vercel.app/perfumes/french-riviera.png","404"
"galloway","https://perfoumer-cdn.vercel.app/perfumes/galloway.png","404"
"ganymede-extrait","https://perfoumer-cdn.vercel.app/perfumes/ganymede-extrait.png","404"
"gate-17","https://perfoumer-cdn.vercel.app/perfumes/gate-17.png","404"
"generations","https://perfoumer-cdn.vercel.app/perfumes/generations.png","404"
"gentleman-society-ambree","https://perfoumer-cdn.vercel.app/perfumes/gentleman-society-ambree.png","404"
"geranium-pour-monsieur","https://perfoumer-cdn.vercel.app/perfumes/geranium-pour-monsieur.png","404"
"gold-rose-oudh","https://perfoumer-cdn.vercel.app/perfumes/gold-rose-oudh.png","404"
"golde-prince","https://perfoumer-cdn.vercel.app/perfumes/golde-prince.png","404"
"good-girl-blush","https://perfoumer-cdn.vercel.app/perfumes/good-girl-blush.png","404"
"good-girl-dazzling-garden","https://perfoumer-cdn.vercel.app/perfumes/good-girl-dazzling-garden.png","404"
"gray-vetiver","https://perfoumer-cdn.vercel.app/perfumes/gray-vetiver.png","404"
"gris-dior","https://perfoumer-cdn.vercel.app/perfumes/gris-dior.png","404"
